stem,cat,solid_fraction
MT_314,MTs,0.19902768738102003
MT_315,MTs,0.505450968116979
MT_316,MTs,0.08965382089362514
MT_317,MTs,0.20809237242526543
MT_318,MTs,0.19115620995490878
MT_319,MTs,0.17301472844860155
MT_320,MTs,0.040993280313018333
MT_321,MTs,0.8717885204157461
MT_322,MTs,0.24019739613633173
MT_323,MTs,0.4777116480062856
MT_324,MTs,0.1680965157504177
MT_325,MTs,0.9272916008484903
MT_326,MTs,0.186232932120707
MT_327,MTs,0.2874746529402589
MT_328,MTs,0.21750883759617384
MT_329,MTs,0.2481030695178376
MT_330,MTs,0.20650387641861453
MT_331,MTs,0.3738067909396022
MT_332,MTs,0.22242817423540315
MT_333,MTs,0.0938655440500459
MT_334,MTs,0.5349464162377737
MT_335,MTs,0.08875779014837322
MT_336,MTs,0.8052917266024789
MT_337,MTs,0.40977776508226693
MT_338,MTs,0.09507248187243418
MT_339,MTs,0.009898444530145262
MT_340,MTs,0.10812934810615821
MT_341,MTs,0.34713964325887836
MT_342,MTs,0.189171974522293
MT_343,MTs,0.3827718790786271
MT_344,MTs,0.331849074291071
MT_345,MTs,0.053973013493253376
MT_346,MTs,0.2299722053188165
MT_347,MTs,0.15224069973037588
MT_348,MTs,0.46837739761534475
MT_349,MTs,0.7841575771882442
MT_350,MTs,0.26337443680341477
MT_351,MTs,0.07812164246455636
MT_352,MTs,0.23785484342990929
MT_353,MTs,0.6259157968687274
MT_354,MTs,0.05592725216735771
MT_355,MTs,0.04565895372233401
MT_356,MTs,0.1746322513403185
MT_357,MTs,0.14026329332177997
MT_358,MTs,0.26129340935369405
MT_359,MTs,0.192908013017078
MT_360,MTs,0.313393373077953
MT_361,MTs,0.40542321233708745
MT_362,MTs,0.34492016008590853
MT_363,MTs,0.22019021788315427
MT_364,MTs,0.2812564285627851
MT_365,MTs,0.22426308058696862
MT_366,MTs,0.28416688019753544
MT_367,MTs,0.5913680080386622
MT_368,MTs,0.3181443333112539
MT_369,MTs,0.25268051285896376
MT_370,MTs,0.6124505493452878
MT_371,MTs,0.4357512771926275
MT_372,MTs,0.22769409038238703
MT_373,MTs,0.0804378991268083
MT_374,MTs,0.06741124850418827
MT_375,MTs,0.4196298808255014
MT_376,MTs,0.2689821270122956
MT_377,MTs,0.2728007271992728
MT_378,MTs,0.09560865182250676
MT_379,MTs,0.1835689439372183
MT_380,MTs,0.3711613839079041
MT_381,MTs,0.23584339358367237
MT_382,MTs,0.10633624234013721
MT_383,MTs,0.4052856821082664
MT_384,MTs,0.15054383124308204
MT_385,MTs,0.05346398487192711
MT_386,MTs,0.04484933426769446
MT_387,MTs,0.24628286554733408
MT_388,MTs,0.23496601359456218
MT_389,MTs,0.26386848548443514
MT_390,MTs,0.9004258943781942
MT_391,MTs,0.8794020775272359
MT_392,MTs,0.22371517027863777
MT_393,MTs,0.7673338873432815
MT_394,MTs,0.16781877487506358
MT_395,MTs,0.30540780528672035
MT_396,MTs,0.6782783453357897
MT_397,MTs,0.5768006942435638
MT_398,MTs,0.7499243112322131
MT_399,MTs,0.9226493747105141
MT_400,MTs,0.2966549295774648
MT_401,MTs,0.1999541134510161
MT_402,MTs,0.20428619158990025
MT_403,MTs,0.15518351577591757
MT_404,MTs,0.28800344773546466
MT_405,MTs,0.1499955194009937
MT_406,MTs,0.025025025025025027
MT_407,MTs,0.2816478267447641
MT_408,MTs,0.07653727241497767
MT_409,MTs,0.5099852490638829
MT_410,MTs,0.6191238001476741
MT_411,MTs,0.8847149127388547
MT_412,MTs,0.09548970852327669
MT_413,MTs,0.10237446477228494
MT_414,MTs,0.48140360796508647
MT_415,MTs,0.14037455930719542
IT_001,ITs,0.568446220916753
IT_002,ITs,0.6084422731267766
IT_003,ITs,0.738816547496967
IT_004,ITs,0.07146134707924258
IT_005,ITs,0.669155225484927
IT_006,ITs,0.9010420506770872
IT_007,ITs,0.49743761140819964
IT_008,ITs,0.2944004249712697
IT_009,ITs,0.27696092082056994
IT_010,ITs,0.426961254350451
IT_011,ITs,0.4260387061848694
IT_012,ITs,0.36091665839208287
IT_013,ITs,0.7803685596088755
IT_014,ITs,0.6146659327253522
IT_015,ITs,0.634711957408493
IT_016,ITs,0.7301606088222414
IT_017,ITs,0.25485658949981543
IT_018,ITs,0.6522890593329164
IT_019,ITs,0.6475127555784645
IT_020,ITs,0.11286322650298898
IT_021,ITs,0.7387264012520787
IT_022,ITs,0.8912006768710099
IT_023,ITs,0.6324733247254847
IT_024,ITs,0.7708823830484185
IT_025,ITs,0.41756857843555
